gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101286845	COL18A1	-2.95	9.72	2208.71	collagen type XVIII alpha 1 chain
LOC101270733	SHANK3	-2.85	8.45	922.64	SH3 and multiple ankyrin repeat domains 3
LOC101272046	KIF26A	-2.92	6.17	187.92	kinesin family member 26A
LOC101288496	RBPMS	-2.52	6.31	244.01	RNA binding protein, mRNA processing factor
LOC101279247	GSE1	-2.33	7.26	404.47	Gse1 coiled-coil protein
LOC101285090	LOC101285090	-3.04	5.76	144.93	golgin subfamily A member 6-like protein 2
LOC101285964	DAPK3	-2.19	6.43	244.12	death associated protein kinase 3
LOC125960360	LOC125960360	-2.95	8.38	896.22	pre-mRNA 3'-end-processing factor FIP1-like
LOC101285784	JPH2	-3.25	5.09	90.67	junctophilin 2
LOC101281407	TBX2	-3.34	6.26	206.4	T-box transcription factor 2
LOC101274441	MTCL1	-2.9	6.37	219.22	microtubule crosslinking factor 1
LOC125961080	LOC125961080	-5.36	13.67	210632.31	collagen alpha-1(I) chain-like
LOC101269608	LMOD1	-3.45	6.66	266.3	leiomodin 1
LOC101288518	RIN3	-2.06	7.07	357.31	Ras and Rab interactor 3
LOC101275977	WTIP	-3.07	5.15	94.03	WT1 interacting protein
LOC101284740	MAFK	-2.3	5.66	160.76	MAF bZIP transcription factor K
LOC101288165	RAB11FIP5	-2.25	7.56	507.73	RAB11 family interacting protein 5
LOC101269981	SEMA6B	-3.19	5.64	131.36	semaphorin 6B
LOC101288033	AKAP17A	-2.57	7.27	413.55	A-kinase anchoring protein 17A
LOC101269887	ID4	-3.29	5.85	172.63	inhibitor of DNA binding 4, HLH protein
LOC101274922	HES4	-3.32	6.34	230.69	hes family bHLH transcription factor 4
LOC101270435	ADRA2A	-3.19	6.55	251.23	adrenoceptor alpha 2A
JCAD	JCAD	-2.32	7.1	364.93	junctional cadherin 5 associated
C8H11orf96	C8H11orf96	-2.83	5.89	171.51	chromosome 8 C11orf96 homolog
LOC101290223	KANK3	-3	6.56	248.35	KN motif and ankyrin repeat domains 3
LOC101276661	NES	-2.4	5.87	157.32	nestin
LOC101287833	MAPK11	-2.42	5.68	136.16	mitogen-activated protein kinase 11
LOC101288691	ROBO4	-3.02	8.56	993.07	roundabout guidance receptor 4
LOC101272985	PEAR1	-2.67	7.79	593.3	platelet endothelial aggregation receptor 1
LOC101283305	EGFL7	-2.89	7.4	449.64	EGF like domain multiple 7
CCN2	CCN2	-3.1	7.39	441.49	cellular communication network factor 2
LOC101284701	BMP6	-2.91	5.7	144.17	bone morphogenetic protein 6
LOC101288868	CPE	-2.45	4.95	80.23	carboxypeptidase E
LOC125961092	LOC125961092	-2.78	5.71	188.22	translation initiation factor IF-2-like
LOC101276670	TINAGL1	-2.82	6.65	261.64	tubulointerstitial nephritis antigen like 1
LOC101283501	SKI	-1.8	8.32	855.72	SKI proto-oncogene
LOC101270946	TPM2	-1.99	7.23	402.78	tropomyosin 2
C1H1orf115	C1H1orf115	-2.79	5.83	191.66	chromosome 1 C1orf115 homolog
LOC101272793	ARHGEF17	-2.24	7.56	495.19	Rho guanine nucleotide exchange factor 17
LOC101278657	RAPGEF3	-2.29	6.32	210.62	Rap guanine nucleotide exchange factor 3
LOC101283334	DMPK	-2.06	5.89	157.74	DM1 protein kinase
LOC101276037	PALLD	-2.23	7.61	521.02	palladin, cytoskeletal associated protein
LOC101277561	PBXIP1	-1.59	5.78	145.98	PBX homeobox interacting protein 1
LOC101286222	LRRC32	-2.71	6.44	233.9	leucine rich repeat containing 32
LOC101271040	LIMS2	-2.12	7.1	373.36	LIM zinc finger domain containing 2
LOC101289090	PPM1F	-2.57	6.13	206.9	protein phosphatase, Mg2+/Mn2+ dependent 1F
LOC101287896	RASIP1	-2.62	6.82	292.18	Ras interacting protein 1
LOC101277590	CROCC	-2.63	6.73	279.31	ciliary rootlet coiled-coil, rootletin
HDGFL2	HDGFL2	-2.16	7.03	352.26	HDGF like 2
LOC101272888	OTUD1	-2.34	5.11	92.54	OTU deubiquitinase 1
LOC101290451	RASA4	-2.27	6.98	335.17	RAS p21 protein activator 4B
LOC101277974	ARHGEF15	-2.49	5.91	158.11	Rho guanine nucleotide exchange factor 15
LOC101281615	SPEG	-2.56	6.8	290.49	striated muscle enriched protein kinase
LOC101270704	CCDC9	-2.06	6.91	322.86	coiled-coil domain containing 9
LOC101270809	PKN1	-2.1	7.17	379.67	protein kinase N1
LOC101286291	SPHK1	-2.24	4.79	73.16	sphingosine kinase 1
LOC101280520	NOS3	-2.51	6.28	199.94	nitric oxide synthase 3
LOC101272129	ANKRD11	-2.13	8.53	922.52	ankyrin repeat domain containing 11
LOC101277710	VWF	-2.57	10.11	2880.74	von Willebrand factor
LOC101269586	FOXC1	-3.08	4.3	51.08	forkhead box C1
LOC125961284	LOC125961284	-3.25	4.17	97.01	translation initiation factor IF-2-like
LOC101283201	LOC101283201	-3.75	5.24	153.42	histone H2A type 2-B
LOC101286162	TADA2B	-1.7	6.24	209.39	transcriptional adaptor 2B
LOC101274389	RNF217	-1.56	5.46	121.9	ring finger protein 217
GUCY1A1	GUCY1A1	-1.84	6.9	339.34	guanylate cyclase 1 soluble subunit alpha 1
LOC101277380	SCHIP1	-1.79	5.44	116.51	schwannomin interacting protein 1
LOC117195743	CCDC194	-2.87	4.1	46.37	coiled-coil domain containing 194
LOC101285547	LOC101285547	-3.07	7.61	951.7	E3 ubiquitin-protein ligase SMURF2-like
LOC101280544	LUM	2.59	6.29	228.2	lumican
LOC101278315	TNRC18	-2.15	9.48	1860.63	trinucleotide repeat containing 18
LOC101281547	CCDC102A	-2.01	6.57	260.78	coiled-coil domain containing 102A
LOC101283240	TPM1	-2.04	8.32	859.46	tropomyosin 1
LOC101287755	ESAM	-2.74	6.22	196.13	endothelial cell adhesion molecule
LOC101274856	GRB10	-1.82	7.8	604.2	growth factor receptor bound protein 10
LOC101271437	PLEKHO2	-1.88	6.6	264.76	pleckstrin homology domain containing O2
