gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC105747706	LOC105747706	-6.81	5.83	142.78	protein preY, mitochondrial-like
LOC101276828	PLD6	-4.48	6.78	332.17	phospholipase D family member 6
LOC101285220	MRPL22	-4.59	8.46	1012.56	mitochondrial ribosomal protein L22
LOC101273384	NDUFAF1	-4.53	8.38	5201.47	NADH:ubiquinone oxidoreductase complex assembly factor 1
LOC101279837	POGLUT1	-4.09	7.5	482.42	protein O-glucosyltransferase 1
LOC101269651	PMM1	-3.99	8.23	1772.89	phosphomannomutase 1
LOC101287503	UFSP2	-4.2	8.38	3122.12	UFM1 specific peptidase 2
NKY04_mgp02	ND6	-4.22	12.38	14581.71	NA
LOC101280771	RBM4B	-4.73	6.8	339.63	RNA-binding protein 4B
LOC101273559	SPATA6L	-3.87	5.64	150.64	spermatogenesis associated 6 like
LOC101281459	PMF1	-3.97	10.24	19646.87	solute carrier family 25 member 44
LOC101274876	AP4S1	-4.07	5.53	180.3	adaptor related protein complex 4 subunit sigma 1
LOC101275622	ZCWPW2	-3.93	8.14	4647.96	zinc finger CW-type and PWWP domain containing 2
LOC101274352	TTC39C	-3.4	6.68	348.81	tetratricopeptide repeat domain 39C
LOC105747692	RPP21	-3.96	7.66	1067.07	ribonuclease P/MRP subunit p21
LOC101278052	ZCCHC17	-4.41	10.54	15994.91	zinc finger CCHC-type containing 17
LOC101285547	LOC101285547	-4.01	10.13	5452.26	E3 ubiquitin-protein ligase SMURF2-like
LOC117198238	LOC117198238	-3.78	6.61	303.16	ZFP14 zinc finger protein
LOC101276290	TERB1	-4.87	6.74	514.34	telomere repeat binding bouquet formation protein 1
LOC101271210	TERF1	-3.3	7.59	622.06	telomeric repeat binding factor 1
LOC101274454	AK3	-4.26	10.94	12068.64	adenylate kinase 3
WASHC3	WASHC3	-4.19	11.23	4353.23	WASH complex subunit 3
LOC101270128	MYOC	-2.49	4.81	82.21	myocilin
LOC101290144	PMEL	-4	4.67	74	premelanosome protein
LOC125964794	LOC125964794	-3.29	9.99	2130.75	uncharacterized protein C6orf132 homolog
LOC101279164	RBM4	-3.6	7.68	553.98	RNA-binding protein 4
LOC101282062	FAM228B	-4.08	7.42	624.38	family with sequence similarity 228 member B
LOC101289255	MAP2K5	-3.53	7.17	521.88	mitogen-activated protein kinase kinase 5
LOC101289267	HMGN5	-4.75	4.74	72.79	high mobility group nucleosome binding domain 5
LOC101272586	ACAD11	-3.51	5.87	187.28	acyl-CoA dehydrogenase family member 11
LOC125960473	LOC125960473	-3.46	10.59	4421.18	uncharacterized LOC125960473
LOC125960760	LOC125960760	-4.07	7.96	1361.01	uncharacterized LOC125960760
LOC125960360	LOC125960360	-3.54	10.59	4149.91	pre-mRNA 3'-end-processing factor FIP1-like
LOC125960359	LOC125960359	-3.41	9.08	2241.92	death-inducer obliterator 1-like
NKY04_mgp03	ND5	-4.19	15.15	94088.37	NA
