gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101276071	ST8SIA5	-9.68	3.5	55.21	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
LOC101289645	EPHA6	-7.34	3.17	35.58	EPH receptor A6
LOC101281291	UNC80	-7.59	3.4	44.73	unc-80 homolog, NALCN channel complex subunit
LOC101289833	ABCA13	-9.32	3.63	48.42	ATP binding cassette subfamily A member 13
LOC101274570	CCKAR	-8.42	3.01	39.57	cholecystokinin A receptor
LOC101287977	DNAH6	-6.38	3.41	41.7	dynein axonemal heavy chain 6
LOC101285617	LRP1B	-8.35	3.61	49.21	LDL receptor related protein 1B
LOC101280468	XIRP2	-7.81	3.89	51.81	xin actin binding repeat containing 2
C4H4orf50	C4H4orf50	-6.13	3.61	47.58	chromosome 4 C4orf50 homolog
LOC101275781	FSIP2	-6.41	3.85	49.58	fibrous sheath interacting protein 2
LOC125964221	LOC125964221	-7.97	3.96	75.82	endogenous retrovirus group K member 9 Env polyprotein-like
LOC101288207	CSMD3	-7.08	2.89	32.23	CUB and Sushi multiple domains 3
LOC101274265	GCSAM	-9.04	2.79	44.77	germinal center associated signaling and motility
LOC101271246	DNAH9	-7.24	3.33	44.43	dynein axonemal heavy chain 9
LOC101281622	GPR98	-4.2	4.27	68.32	adhesion G protein-coupled receptor V1
LOC101289760	ADAM23	-7.85	2.86	28.11	ADAM metallopeptidase domain 23
LOC101269685	FAM135B	-8.86	2.43	20.21	protein FAM135B
LOC101273183	MYH8	-7.51	1.98	24.39	myosin-8
LOC117195498	LOC117195498	-9.32	3.23	32.86	uncharacterized LOC117195498
LOC101269419	RBM11	-6.54	3.81	48.99	RNA binding motif protein 11
LOC101281005	APOB	-7.46	3.63	44.72	apolipoprotein B
LOC101283311	MALRD1	-7.15	2.94	36.44	MAM and LDL receptor class A domain containing 1
LOC101270841	KCNH7	-8.06	2.9	37.48	potassium voltage-gated channel subfamily H member 7
LOC101270906	TCL1B	-6.72	3.42	37.86	TCL1 family AKT coactivator B
LOC101283570	ABCB11	-7.99	2.74	24.24	ATP binding cassette subfamily B member 11
LOC117195621	LOC117195621	-8.45	2.76	28.17	low-density lipoprotein receptor-related protein 2-like
LOC101274621	GPR158	-9.22	2.77	24.95	G protein-coupled receptor 158
LOC101283432	SCN5A	-8.93	2.53	21.31	sodium voltage-gated channel alpha subunit 5
LOC101279587	GALNTL6	-8.31	2.68	24.9	polypeptide N-acetylgalactosaminyltransferase like 6
LOC101284427	GRID2	-8.91	2.46	21.27	glutamate ionotropic receptor delta type subunit 2
LOC101270997	LGI2	-7.96	2.61	29.56	leucine rich repeat LGI family member 2
LOC101290210	LRRC3B	-7.52	2.22	25.27	leucine rich repeat containing 3B
LOC101270149	DLGAP1	-5.08	2.61	24.39	DLG associated protein 1
LOC101286702	SLC7A14	-7.07	2.43	21.26	solute carrier family 7 member 14
LOC101282272	COL6A5	-5.75	2.86	28.79	collagen type VI alpha 5 chain
LOC101269494	SSTR3	-7.43	2.99	28.18	somatostatin receptor 3
LOC101276968	TENM1	-7.69	2.99	29.13	teneurin-1
LOC125960381	LOC125960381	-6.94	2.52	20.11	uncharacterized LOC125960381
LOC101285236	SLITRK3	-8.5	2.48	20.04	SLIT and NTRK like family member 3
LOC101272850	MYBPC1	-8.01	2.53	21.18	myosin binding protein C1
LOC101290246	ONECUT1	-7.69	2.65	24.58	one cut homeobox 1
