gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101286257	KNDC1	3.13	6.77	305.21	kinase non-catalytic C-lobe domain containing 1
LOC101276521	PHLDB1	2.89	9.09	1525.17	pleckstrin homology like domain family B member 1
LOC101280420	PROM2	-4.51	4.62	68.62	prominin 2
LOC101273964	COL5A3	2.76	9.39	1901.89	collagen type V alpha 3 chain
LOC101284590	APOA1	4.35	4.51	64.72	apolipoprotein A1
LOC101275012	FIGNL2	3.31	5.24	103.48	fidgetin like 2
LOC101284574	XDH	-6.19	4.11	47.26	xanthine dehydrogenase
LOC101270759	ASPM	-4.06	4.72	70.79	assembly factor for spindle microtubules
LOC101269566	FERMT1	-4.68	4.78	79.19	FERM domain containing kindlin 1
LOC101270696	SEMA3G	3.15	5.38	120.9	semaphorin 3G
LOC101270533	TENM2	-3.87	5.02	91.47	teneurin transmembrane protein 2
LOC101270799	KCNK2	-5.25	3.75	38.5	potassium two pore domain channel subfamily K member 2
LOC101273734	IGFBP2	3.15	5.87	165.78	insulin like growth factor binding protein 2
LOC101275733	FGFRL1	2.74	6	179.53	fibroblast growth factor receptor like 1
LOC101275982	ADGRA2	2.17	7.97	705.84	adhesion G protein-coupled receptor A2
LOC101285974	DZIP1L	2.19	5.7	148.12	DAZ interacting zinc finger protein 1 like
LOC101271370	CENPF	-3.59	4.86	84.74	centromere protein F
LOC101290322	ALDH3B1	2.17	5.77	154.88	aldehyde dehydrogenase 3 family member B1
LOC101281843	DMRT2	3.52	7.5	485.93	doublesex and mab-3 related transcription factor 2
LOC101269401	ANGPTL4	3.69	6.62	272.31	angiopoietin like 4
LOC101288739	PAK6	-4.43	5.17	103.01	p21 (RAC1) activated kinase 6
LOC101290410	ADAMTS15	2.79	5.8	162.99	ADAM metallopeptidase with thrombospondin type 1 motif 15
LOC101290024	GJA5	3.38	4.9	91.92	gap junction protein alpha 5
LOC101271445	PAQR5	-3.5	4.75	77.16	progestin and adipoQ receptor family member 5
LOC101285801	P3H3	1.98	7.61	552.41	prolyl 3-hydroxylase 3
LOC101273282	DCT	-4.25	4.01	46.77	dopachrome tautomerase
LOC101284820	ANGPTL2	1.83	7.06	399.89	angiopoietin like 2
LOC101270881	ARHGEF40	2.19	7.16	399.42	Rho guanine nucleotide exchange factor 40
