ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031424	keratinization	5/58	26/13419	7.76238158540331e-08	6.00808334710216e-05	5.58074381350574e-05	TGM1/PPL/EVPL/KRT80/KRT16	5
GO:0006119	oxidative phosphorylation	7/58	101/13419	2.43529230542041e-07	9.42458122197699e-05	8.75423497159021e-05	ATP8/ND4L/ATP6/ND4/ND2/ND5/ND1	7
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	5/58	49/13419	2.0860081750329e-06	0.000538190109158489	0.000499910029314903	ND4L/ND4/ND2/ND5/ND1	5
GO:0009060	aerobic respiration	7/58	147/13419	3.09158505231281e-06	0.000598221707622528	0.000555671734402539	ATP8/ND4L/ATP6/ND4/ND2/ND5/ND1	7
GO:0019646	aerobic electron transport chain	5/58	56/13419	4.08341356505676e-06	0.000632112419870787	0.000587151887354477	ND4L/ND4/ND2/ND5/ND1	5
GO:0042773	ATP synthesis coupled electron transport	5/58	63/13419	7.34271479748594e-06	0.000811894464750588	0.000754146497245548	ND4L/ND4/ND2/ND5/ND1	5
GO:0042775	mitochondrial ATP synthesis coupled electron transport	5/58	63/13419	7.34271479748594e-06	0.000811894464750588	0.000754146497245548	ND4L/ND4/ND2/ND5/ND1	5
GO:0045333	cellular respiration	7/58	185/13419	1.40334751527485e-05	0.00135773872102841	0.00126116625385884	ATP8/ND4L/ATP6/ND4/ND2/ND5/ND1	7
GO:0022904	respiratory electron transport chain	5/58	81/13419	2.52263583587991e-05	0.00216946681885673	0.0020151582174339	ND4L/ND4/ND2/ND5/ND1	5
GO:0046034	ATP metabolic process	7/58	223/13419	4.66211521074234e-05	0.00346114815975742	0.00321496558291081	ATP8/ND4L/ATP6/ND4/ND2/ND5/ND1	7
GO:0030216	keratinocyte differentiation	5/58	93/13419	4.91894441309195e-05	0.00346114815975742	0.00321496558291081	TGM1/PPL/EVPL/KRT80/KRT16	5
GO:0045104	intermediate filament cytoskeleton organization	4/58	49/13419	5.7585884320965e-05	0.00371428953870224	0.00345010166589641	PPL/EVPL/KRT80/KRT16	4
GO:0045103	intermediate filament-based process	4/58	50/13419	6.23924685020274e-05	0.00371475158619763	0.00345053084914046	PPL/EVPL/KRT80/KRT16	4
GO:0010257	NADH dehydrogenase complex assembly	4/58	56/13419	9.76052960886519e-05	0.00503643327817444	0.00467820471779293	ND4/ND2/ND5/ND1	4
GO:0032981	mitochondrial respiratory chain complex I assembly	4/58	56/13419	9.76052960886519e-05	0.00503643327817444	0.00467820471779293	ND4/ND2/ND5/ND1	4
GO:0015980	energy derivation by oxidation of organic compounds	7/58	263/13419	0.000131360958615931	0.00635458637304566	0.0059026009693869	ATP8/ND4L/ATP6/ND4/ND2/ND5/ND1	7
GO:0022900	electron transport chain	5/58	123/13419	0.000185306688803353	0.00843690453728209	0.00783680919211705	ND4L/ND4/ND2/ND5/ND1	5
GO:0033108	mitochondrial respiratory chain complex assembly	4/58	73/13419	0.000273880081076847	0.0117768434863044	0.0109391868640636	ND4/ND2/ND5/ND1	4
GO:0009913	epidermal cell differentiation	5/58	150/13419	0.000464337863062792	0.0189156582110843	0.0175702360372237	TGM1/PPL/EVPL/KRT80/KRT16	5
