ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	cytoplasmic translation	27/621	138/13419	1.49959656641998e-10	6.44076725277382e-07	5.89262524467978e-07	ZNF385A/PABPC1/RPL23A/RPS18/RWDD1/YBX1/RPS13/RPL18A/RPL8/RPLP1/RPL36/RPL29/RPL15/RPL7A/RPL38/RPL4/RPL12/RPL28/RPL36A/RPL23/RPS20/RPS14/RPL11/RPL35/RPL10/RPL5/RPL17	27
GO:0008544	epidermis development	37/621	253/13419	4.46691679233998e-10	9.59270381155011e-07	8.77631599252902e-07	KRT14/KRT82/CRABP2/LAMC2/DSP/SFN/COL17A1/IRF6/DCT/TP63/GRHL3/FGF10/TGM1/KRTDAP/YBX1/ESRP1/CNFN/OVOL2/MYCL/SULT2B1/GRHL1/GRHL2/POU2F3/NME2/FGFR2/BNC1/AQP3/SFRP4/SOX9/KLF7/ROCK2/SPINK5/BMP4/FOXN1/FERMT1/ETV4/LAMA3	37
GO:0045604	regulation of epidermal cell differentiation	15/621	47/13419	1.53159603441797e-09	2.19273498927506e-06	2.00612210402887e-06	SFN/TP63/ESRP1/OVOL2/MYCL/SULT2B1/GRHL1/GRHL2/NME2/AQP3/SFRP4/KLF7/ROCK2/BMP4/ETV4	15
GO:0060512	prostate gland morphogenesis	11/621	24/13419	2.74983677068042e-09	2.9526372325181e-06	2.7013528065658e-06	MMP2/SERPINB5/TP63/FGF10/RARG/ESR1/FGFR2/SOX9/BMP4/BMP7/CRIP1	11
GO:0045229	external encapsulating structure organization	37/621	273/13419	3.84691985146942e-09	3.30450415241223e-06	3.02327406432323e-06	MMP2/COL17A1/POSTN/SERPINB5/SMOC2/GREM1/FBLN5/ANTXR1/FMOD/LUM/CCDC80/CRTAP/TGM1/CREB3L1/DPT/TLL1/GPM6B/ADAMTS9/COL1A2/SULF2/FKBP10/SOX9/LOX/ECM2/DPP4/SPINK5/ITGB1/MMP27/LCP1/FOXF2/COL1A1/FERMT1/MELTF/CTSK/FBLN1/TIE1/ADAMTS13	37
GO:0045682	regulation of epidermis development	15/621	52/13419	7.36042828046928e-09	4.8322436383617e-06	4.42099516010152e-06	SFN/TP63/ESRP1/OVOL2/MYCL/SULT2B1/GRHL1/GRHL2/NME2/AQP3/SFRP4/KLF7/ROCK2/BMP4/ETV4	15
GO:0060688	regulation of morphogenesis of a branching structure	14/621	45/13419	7.87560080757436e-09	4.8322436383617e-06	4.42099516010152e-06	GREM1/TACSTD2/FGF10/ESR1/SNAI2/SIX2/PAX8/FGFR2/PHB2/SOX9/BMP4/LRRK2/BMP7/WNT2	14
GO:0030198	extracellular matrix organization	36/621	272/13419	1.18497265642984e-08	6.23507191262802e-06	5.70443562277811e-06	MMP2/COL17A1/POSTN/SERPINB5/SMOC2/GREM1/FBLN5/ANTXR1/FMOD/LUM/CCDC80/CRTAP/CREB3L1/DPT/TLL1/GPM6B/ADAMTS9/COL1A2/SULF2/FKBP10/SOX9/LOX/ECM2/DPP4/SPINK5/ITGB1/MMP27/LCP1/FOXF2/COL1A1/FERMT1/MELTF/CTSK/FBLN1/TIE1/ADAMTS13	36
GO:0043062	extracellular structure organization	36/621	273/13419	1.30653427738422e-08	6.23507191262802e-06	5.70443562277811e-06	MMP2/COL17A1/POSTN/SERPINB5/SMOC2/GREM1/FBLN5/ANTXR1/FMOD/LUM/CCDC80/CRTAP/CREB3L1/DPT/TLL1/GPM6B/ADAMTS9/COL1A2/SULF2/FKBP10/SOX9/LOX/ECM2/DPP4/SPINK5/ITGB1/MMP27/LCP1/FOXF2/COL1A1/FERMT1/MELTF/CTSK/FBLN1/TIE1/ADAMTS13	36
GO:0060740	prostate gland epithelium morphogenesis	9/621	22/13419	2.6588400220858e-07	0.00010447758781422	9.55860144134509e-05	MMP2/TP63/FGF10/RARG/ESR1/FGFR2/SOX9/BMP4/BMP7	9
