ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0008137	NADH dehydrogenase (ubiquinone) activity	5/59	42/13763	9.17491114548086e-07	3.81019370390744e-05	3.29649058737486e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0050136	NADH dehydrogenase (quinone) activity	5/59	43/13763	1.03482196503831e-06	3.81019370390744e-05	3.29649058737486e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	5/59	44/13763	1.16367758722633e-06	3.81019370390744e-05	3.29649058737486e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0003954	NADH dehydrogenase activity	5/59	45/13763	1.30486085750255e-06	3.81019370390744e-05	3.29649058737486e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0003955	NAD(P)H dehydrogenase (quinone) activity	5/59	45/13763	1.30486085750255e-06	3.81019370390744e-05	3.29649058737486e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	5/59	52/13763	2.71289340030906e-06	6.60137394075205e-05	5.71135452696644e-05	ND4L/ND4/ND2/ND5/ND1	5
GO:0016651	oxidoreductase activity, acting on NAD(P)H	5/59	71/13763	1.27719936894099e-05	0.00026638729695055	0.000230472066575818	ND4L/ND4/ND2/ND5/ND1	5
GO:0009055	electron transfer activity	5/59	89/13763	3.83914184224927e-05	0.000700643386210491	0.000606180290881463	ND4L/ND4/ND2/ND5/ND1	5
GO:0003774	cytoskeletal motor activity	5/59	103/13763	7.73504932409433e-05	0.00125479689035308	0.00108562095776763	MYH11/KIF21B/DNAH5/MYH14/MYO18B	5
GO:0015399	primary active transmembrane transporter activity	5/59	124/13763	0.000185763274586347	0.00271214380896066	0.00234648346845912	ND4L/ND4/ND2/ND5/ND1	5
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	2/59	16/13763	0.0020858620847586	0.0266808733960782	0.0230836684032399	ATP8/ATP6	2
GO:0045296	cadherin binding	6/59	314/13763	0.00219294849830779	0.0266808733960782	0.0230836684032399	RANBP1/EPS8L1/PPL/EVPL/EPS8L2/CDH19	6
GO:0015252	proton channel activity	2/59	21/13763	0.00360037091671535	0.0404349349108032	0.0349833611340763	ATP8/ATP6	2
