ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003735	structural constituent of ribosome	54/1809	150/13763	7.98607097214797e-13	8.12982024964663e-10	7.74228564773503e-10	RPS13/RPL23A/RPL36A/RPL18A/RPLP1/MRPL22/RPL12/RPL39/RPL38/RPL29/RPS29/RPS27/RPLP2/RPS18/RPL36/UBA52/RPS25/RPL7A/MRPS5/RPS2/RPS15A/RPL15/RPL8/RPL32/RPL26L1/MRPL14/RPL28/RPL27/RPL35/RPL10/RPS17/RPL21/MRPS16/RPS15/MRPS15/RPL26/RPL23/RPS5/RPL5/RPL13/RPL22L1/RPL30/RPS20/RPS19/RPL31/RPL10A/MRPS12/RPL34/MRPL15/RPL22/RPS14/RPL17/MRPL17/MRPS2	54
GO:0030280	structural constituent of skin epidermis	8/1809	10/13763	3.08876019938514e-06	0.00157217894148704	0.00149723586507038	PKP1/KRT82/KRT80/PNPLA1/LORICRIN/KRT8/KRT78/KRT36	8
GO:0098631	cell adhesion mediator activity	22/1809	62/13763	6.35519855381441e-06	0.00196720385509612	0.0018734306178715	TRIM29/DSP/NINJ1/PKP3/SIRPA/DSC2/ITGB1/JUP/KRT18/S100A11/NFASC/ITGA1/BSG/PAK4/PPP1CA/ITGA11/GLDN/RAB10/VSTM2L/CD47/ANXA1/BCAM	22
GO:0005201	extracellular matrix structural constituent	40/1809	151/13763	7.95008182685715e-06	0.00196720385509612	0.0018734306178715	BGN/DCN/PRELP/FMOD/MFAP2/OGN/LAMC2/COL17A1/POSTN/TUFT1/FBLN5/SPARC/PRG4/MXRA5/LUM/AEBP1/DPT/COL4A5/COL1A1/MFAP5/COL1A2/FN1/COL4A6/COL6A1/COL12A1/MFAP4/LAMC1/VCAN/SBSPON/MMRN2/PCOLCE/FBLN1/SRPX/VWF/COL18A1/LAMA4/EFEMP2/CRELD1/LAMA3/THBS2	40
GO:0003779	actin binding	85/1809	410/13763	9.66210144939154e-06	0.00196720385509612	0.0018734306178715	GJB6/COTL1/SPTBN2/EVL/HOMER2/ANG/SHTN1/WIPF1/GAS7/UTRN/ZNF185/S100A4/P4HB/CGN/ITGB1/MYO5B/CTNNAL1/MTSS1/MYH11/LRRK2/EPS8/WASL/KCNMA1/SYNPO2L/MAPT/ARPC2/SLC6A2/ANTXR1/TNNT2/ESPN/TPM1/EPB41L1/MYO7A/GAS2L2/LASP1/KLHL3/DBNL/ARPC1B/MYRIP/FHDC1/AIF1L/FMNL3/PRICKLE4/MICAL2/FLNB/SHROOM4/DBN1/ABLIM3/JMY/KLHL20/TLN2/TPM2/PFN2/IQGAP3/CNN2/FBXO25/CNN1/NOS3/VCL/PSTPIP2/OPHN1/SORBS1/MYO18B/AJUBA/MAP1S/FLNC/EPS8L1/EPS8L2/ENC1/TNS4/CAMSAP3/MYH14/ARPC1A/ARPC3/MYO1G/FERMT1/PRKN/MYO18A/MYO1D/EZR/BLOC1S6/PHACTR1/TLN1/ANLN/SNTA1	85
GO:0015399	primary active transmembrane transporter activity	34/1809	124/13763	1.69562257431136e-05	0.00250151223166268	0.002382269429595	ND1/CYTB/ND4L/ND2/ND3/ATP2A3/ND4/ATP7B/ATP6V1C2/NDUFA3/ABCG2/ATP6V0D1/NDUFB4/ATP6V1F/ND5/ABCB1/TOMM20/ATP6V0E1/ATP6V1A/TAP2/ATP2B1/NDUFV3/NDUFB7/NDUFB10/NDUFA2/ATP8A1/ABCA12/NDUFB9/ABCC4/ABCB10/ATP6V0C/ABCD2/ABCA1/ATP1A2	34
GO:0045296	cadherin binding	68/1809	314/13763	1.72009681941442e-05	0.00250151223166268	0.002382269429595	TRIM29/PKP1/SFN/RPL23A/SPTBN2/LAD1/PKP3/SHTN1/CDH1/RPL29/CGN/ITGB1/HDLBP/CTNNAL1/PAK6/JUP/EEF2/BAG3/KRT18/RPL7A/S100A11/PCBP1/RPS2/EEF1G/RPL15/CHMP4B/EVPL/BSG/PAK4/PPL/LASP1/DBNL/RANBP1/PPP1CA/PHLDB2/ARHGAP1/CDH19/CEMIP2/SH3GL1/KDR/SRC/PRDX6/FLNB/ENO1/RACK1/DBN1/DOCK9/DNAJB1/RARS1/ITGA6/CNN2/RAB10/TES/VCL/SWAP70/RPL34/PTPRB/EPS8L1/EPS8L2/TRIM25/PTPRM/EZR/ANXA1/TLN1/ANLN/YWHAZ/TAGLN2/FASN	68
GO:0005518	collagen binding	21/1809	64/13763	4.00090395047703e-05	0.00509115027698202	0.00484846386630177	LRRC15/CD44/DCN/CRTAP/LOX/SPARC/LUM/ITGB1/AEBP1/FN1/ANTXR1/COL6A1/ITGA1/ACHE/ECM2/PCOLCE/ADAM9/ITGA11/MRC2/SPARCL1/VWF	21
GO:0030021	extracellular matrix structural constituent conferring compression resistance	9/1809	17/13763	0.000103172911025461	0.0116700026026577	0.0111137135736199	BGN/DCN/PRELP/FMOD/OGN/TUFT1/PRG4/LUM/VCAN	9
GO:0050840	extracellular matrix binding	17/1809	52/13763	0.000223911164116406	0.0227941565070502	0.02170759812118	LRRC15/BGN/DCN/SMOC2/LYPD3/SPARC/ITGB1/SLIT2/LGALS1/SPOCK2/ACHE/CLEC14A/ADAM9/SMOC1/SPARCL1/BCAM/OLFML2B	17
GO:0098632	cell-cell adhesion mediator activity	17/1809	53/13763	0.000289754114296939	0.0268154262140258	0.0255371807911465	TRIM29/DSP/PKP3/SIRPA/DSC2/JUP/KRT18/S100A11/NFASC/BSG/PAK4/PPP1CA/GLDN/RAB10/VSTM2L/CD47/ANXA1	17
GO:0005200	structural constituent of cytoskeleton	22/1809	78/13763	0.000323269807472486	0.0274240553339159	0.0261167976036983	DSP/KRT14/SPTBN2/TUBA4A/TUBB2A/KRT16/ARPC2/TUBB/TUBA1C/TUBB4B/TPM1/PPL/ARPC1B/LORICRIN/TLN2/ARPC3/KRT15/ACTG1/TUBB6/YEATS4/TLN1/SORBS2	22
GO:0005539	glycosaminoglycan binding	40/1809	178/13763	0.000402582690902835	0.031525321487622	0.030022563426843	CD44/BGN/DCN/PRELP/FGF10/LAMC2/ANG/SMOC2/POSTN/PTPRF/RPL29/APP/CCDC80/BCAN/CCN3/GPNMB/RTN4R/FN1/SLIT2/SELP/SPOCK2/CEMIP/SULF2/HDGF/RSPO1/RNASE7/BMP7/VCAN/SOD3/ECM2/HYAL2/FGFBP1/PCOLCE/SMOC1/NRP2/ADAMTSL5/EFEMP2/PF4/RPL22/THBS2	40
