gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
NKY04_mgp09	ATP8	2.95	9.11	1867.12	NA
NKY04_mgp05	ND4L	3.2	10.77	6223.04	NA
LOC101279083	UNC119B	2.26	7.29	465.21	unc-119 lipid binding chaperone B
LOC101270224	PTPN9	2.28	6.86	347.88	protein tyrosine phosphatase non-receptor type 9
NKY04_mgp08	ATP6	2.57	12.32	17111.76	NA
C10H6orf132	C10H6orf132	3.08	7.11	443.53	chromosome 10 C6orf132 homolog
LOC101281893	MYH11	-2.5	8.99	1409.22	myosin heavy chain 11
LOC101269651	PMM1	2.49	6.63	1222.67	phosphomannomutase 1
NKY04_mgp04	ND4	2.91	13.15	30751.56	NA
LOC101283808	RNF24	1.75	6.97	370.94	ring finger protein 24
LOC101286435	RHBDL3	-3.07	2.01	13.85	rhomboid like 3
LOC101281886	DOT1L	1.66	7.63	606.72	DOT1 like histone lysine methyltransferase
NKY04_mgp12	ND2	2.86	12.2	18548.59	NA
LOC101288392	EID3	1.88	5.82	178.1	EP300 interacting inhibitor of differentiation 3
LOC125960760	LOC125960760	3.32	6.7	687.3	uncharacterized LOC125960760
LOC101271972	ABTB2	1.9	5.42	119.88	ankyrin repeat and BTB domain containing 2
C9H7orf57	C9H7orf57	2.73	3.53	33.38	chromosome 9 C7orf57 homolog
LOC101285220	MRPL22	3.18	6.56	491.53	mitochondrial ribosomal protein L22
LOC101288863	TGM1	3.24	7.13	389.49	transglutaminase 1
LOC101283352	RANBP1	1.11	5.81	189.89	RAN binding protein 1
LOC101269735	ACTG2	-2.44	5.45	119.95	actin gamma 2, smooth muscle
LOC101275682	PHLDB3	2.41	7.15	912.82	pleckstrin homology like domain family B member 3
NKY04_mgp03	ND5	3.16	13.5	43488.3	NA
LOC101278453	PPM1B	1.56	6.88	349.23	protein phosphatase, Mg2+/Mn2+ dependent 1B
LOC117199116	LOC117199116	1.68	4.8	92.11	uncharacterized LOC117199116
NKY04_mgp13	ND1	2.32	12.42	19325.34	NA
LOC101276014	ARHGEF19	1.72	6.64	773.94	Rho guanine nucleotide exchange factor 19
LOC101286746	STK25	0.88	5.79	210.88	serine/threonine kinase 25
LOC117198242	DMKN	2.61	7.13	365.6	dermokine
C10H6orf15	C10H6orf15	3.76	6.99	57.87	chromosome 10 C6orf15 homolog
LOC101286103	IQCE	1.15	6.18	181.29	IQ motif containing E
CCN3	CCN3	-2.07	5.61	127.49	cellular communication network factor 3
LOC101285547	LOC101285547	2.86	9.77	4238.83	E3 ubiquitin-protein ligase SMURF2-like
LOC101271787	VWA5B2	-2.7	1.13	30.94	von Willebrand factor A domain containing 5B2
LOC101273925	PCP4L1	-2.62	2.03	24.16	Purkinje cell protein 4 like 1
LOC101289346	TRPM1	-3.45	6.12	50.15	transient receptor potential cation channel subfamily M member 1
LOC117198824	LOC117198824	1.73	5.01	172.03	uncharacterized LOC117198824
LOC101271642	AKAP6	-1.47	4.73	80.46	A-kinase anchoring protein 6
LOC101273811	CEP170B	1.56	6.91	336.83	centrosomal protein 170B
LOC125964650	LOC125964650	8.1	11.24	NA	trichohyalin
LOC101277312	EPS8L1	4.04	7.11	NA	EPS8 like 1
LOC101274393	FOSL1	4.48	5.63	NA	FOS like 1, AP-1 transcription factor subunit
LOC101278180	MXD1	3.01	5.44	NA	MAX dimerization protein 1
LOC101290187	ELF3	3.82	4.26	NA	E74 like ETS transcription factor 3
LOC101274430	PLEKHN1	3.44	5.9	NA	pleckstrin homology domain containing N1
