gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101276217	FAM180B	-3.78	5.06	104.41	family with sequence similarity 180 member B
LOC101274555	CD44	-2.98	7.54	560.46	CD44 molecule (Indian blood group)
LOC101280289	SERPINF1	-3.87	6.5	275.97	serpin family F member 1
LOC101283745	LOC101283745	-6.83	5.62	142.83	WAP four-disulfide core domain protein 3-like
LOC101280790	ZNHIT6	-2.61	5.66	160.87	zinc finger HIT-type containing 6
LOC101269874	DCN	-2.83	8.32	975.05	decorin
LOC101276696	LOC101276696	-2.05	6.25	228.68	histone H2A type 1-like
LOC117202489	LOC117202489	-7.12	7.98	725.65	antileukoproteinase-like
LOC101273992	KRT14	-5.74	12.19	13376.75	keratin, type I cytoskeletal 14
LOC101274961	RAB7B	-2.58	3.99	50.85	RAB7B, member RAS oncogene family
LOC101279926	TRIM29	-4.59	7.4	492.09	tripartite motif containing 29
TENT5C	TENT5C	-2.59	5	104.64	terminal nucleotidyltransferase 5C
LOC101275605	ZNF385A	-1.62	5.14	107.33	zinc finger protein 385A
LOC101269805	PLA2G4F	-4.01	4.47	62.46	phospholipase A2 group IVF
LOC101290218	KRT82	-6.09	10.75	5211.68	keratin, type II cytoskeletal 6A
LOC101271909	PKP1	-5.17	8.25	950.52	plakophilin 1
LOC101273604	BGN	-2.41	8.33	1002.67	biglycan
LOC101275485	MMP2	-2.14	8.03	784.34	matrix metallopeptidase 2
LOC101284151	LOC101284151	-6.83	5.24	96.5	annexin A8
LOC101289027	TGFB3	-1.91	4.58	77.39	transforming growth factor beta 3
LOC101289727	DSG3	-6.92	6.99	370.02	desmoglein 3
LOC101276405	CRABP2	-2.86	4.47	69.36	cellular retinoic acid binding protein 2
LOC101282661	LAMC2	-3.88	4.19	52.5	laminin subunit gamma 2
LOC101288672	IRX4	-3.72	4.25	54	iroquois homeobox 4
LOC101287010	GJB2	-6.14	5.59	148.57	gap junction protein beta 2
LOC101290249	MIPEP	1.12	5.79	158.03	mitochondrial intermediate peptidase
LOC101271277	LOC101271277	-5.82	10.14	804.57	keratin, type II cytoskeletal 5
LOC101277806	CRABP1	-3.32	5.36	127.02	cellular retinoic acid binding protein 1
LOC101285135	PERP	-5.86	7.08	397.99	p53 apoptosis effector related to PMP22
LOC101286179	MT4	-6.72	8.64	1182.19	metallothionein 4
LOC101281898	LGALS7B	-5.15	7.62	514.24	galectin-7
LOC101279312	LOC101279312	-2.97	3.59	34.82	histone H2A type 1
LOC101269277	QPCT	-2.68	4.1	52.24	glutaminyl-peptide cyclotransferase
LOC101276754	CHP2	-3.13	3.62	41.15	calcineurin like EF-hand protein 2
