gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101288863	TGM1	7.21	7.23	434.57	transglutaminase 1
NKY04_mgp13	ND1	4.83	12.57	19885.39	NA
LOC117198242	DMKN	5.9	7.13	410.87	dermokine
LOC101281898	LGALS7B	7.64	7.62	514.24	galectin-7
NKY04_mgp01	CYTB	4.35	12.31	16759.7	NA
NKY04_mgp07	COIII	4.19	12.29	15474.51	NA
LOC125964650	LOC125964650	8.06	11.24	110.55	trichohyalin
NKY04_mgp08	ATP6	4.37	12.32	15890.2	NA
LOC101279926	TRIM29	6.08	7.4	492.09	tripartite motif containing 29
LOC101275605	ZNF385A	2.14	5.14	107.33	zinc finger protein 385A
LOC101271909	PKP1	6.52	8.25	950.52	plakophilin 1
LOC101270265	RPS13	3.06	6.84	342.31	ribosomal protein S13
C10H6orf15	C10H6orf15	7.46	6.99	63.48	chromosome 10 C6orf15 homolog
NKY04_mgp05	ND4L	5.07	10.77	6223.04	NA
LOC101269307	FAM180A	3.82	3.69	47.17	family with sequence similarity 180 member A
LOC101278317	FAM102A	2.37	5.69	166.41	family with sequence similarity 102 member A
LOC101285221	DSP	4.61	10.83	2206.07	desmoplakin
LOC101289425	LRRC15	3.33	4.58	85.17	leucine rich repeat containing 15
LOC101274555	CD44	3.17	7.54	560.46	CD44 molecule (Indian blood group)
LOC101273992	KRT14	6.88	12.19	13376.75	keratin, type I cytoskeletal 14
LOC101283745	LOC101283745	7.77	5.62	142.83	WAP four-disulfide core domain protein 3-like
LOC101280790	ZNHIT6	2.89	5.66	160.87	zinc finger HIT-type containing 6
NKY04_mgp11	COI	4.12	14.95	101324.57	NA
LOC101269212	MAPK13	5.62	4.98	94.01	mitogen-activated protein kinase 13
LOC101289084	GREM1	4.86	5.1	131.95	gremlin 1, DAN family BMP antagonist
LOC101284402	CNFN	7.54	5.68	159.47	cornifelin
LOC101290218	KRT82	7.2	10.75	5211.68	keratin, type II cytoskeletal 6A
NKY04_mgp10	COII	3.65	11.67	10116.91	NA
LOC101278015	CCDC102B	3.64	5.15	117.99	coiled-coil domain containing 102B
LOC101282054	KLK10	8.49	4.97	95.61	kallikrein related peptidase 10
LOC101286747	GJB6	7.71	5.53	30	gap junction protein beta 6
LOC101282017	LOC101282017	6.34	3.47	33.79	calmodulin-like
LOC101273604	BGN	2.84	8.33	1002.67	biglycan
LOC101269805	PLA2G4F	4.7	4.47	62.46	phospholipase A2 group IVF
LOC125960407	LOC125960407	7.24	10.64	4833.82	keratin, type II cytoskeletal 6A-like
LOC101286206	PLA2G4D	5.05	5.34	113.04	phospholipase A2 group IVD
LOC101277806	CRABP1	3.98	5.36	127.02	cellular retinoic acid binding protein 1
LOC101269549	ARHGEF5	5.69	5.29	114.44	Rho guanine nucleotide exchange factor 5
LOC101269663	TWIST2	2.79	6.29	233.92	twist family bHLH transcription factor 2
LOC101269874	DCN	3.02	8.32	975.05	decorin
TENT5C	TENT5C	3.06	5	104.64	terminal nucleotidyltransferase 5C
LOC101289727	DSG3	7.96	6.99	370.02	desmoglein 3
LOC101285135	PERP	7.13	7.08	397.99	p53 apoptosis effector related to PMP22
LOC101276754	CHP2	3.73	3.62	41.15	calcineurin like EF-hand protein 2
LOC101273234	KRT13	6.48	8.2	852.38	keratin 13
LOC101276405	CRABP2	3.32	4.47	69.36	cellular retinoic acid binding protein 2
LOC101276696	LOC101276696	2.14	6.25	228.68	histone H2A type 1-like
LOC101284138	LGALS7	7.11	7.15	188.05	galectin-7
C10H6orf132	C10H6orf132	4.16	7.11	315.55	chromosome 10 C6orf132 homolog
LOC105748501	LOC105748501	7.19	4.32	32.69	DNA dC->dU-editing enzyme APOBEC-3G-like
LOC101280659	MAFB	2.22	5.8	180.99	MAF bZIP transcription factor B
